2 Cat.;4 Cat.;6 Cat.;8 Cat.;10 Cat.;15 Cat.;25 Cat.
0.484;0.7479;0.813;0.8656;0.8943;0.925;0.9509
0.491;0.7338;0.8191;0.8613;0.8932;0.9283;0.953
0.48;0.7412;0.814;0.8684;0.8916;0.9171;0.9545
0.5;0.7385;0.8084;0.8585;0.8892;0.924;0.9494
0.4856;0.7497;0.8138;0.8586;0.8894;0.9224;0.9506
0.476;0.7326;0.7953;0.8633;0.8801;0.9259;0.9505
0.467;0.7438;0.8098;0.8622;0.8942;0.9229;0.9516
0.4736;0.7428;0.8236;0.867;0.8897;0.9257;0.9541
0.478;0.7414;0.8231;0.8687;0.883;0.9257;0.9508
0.482;0.7308;0.8319;0.8558;0.8861;0.9177;0.9523
0.494;0.7465;0.8269;0.8658;0.8904;0.9233;0.9479
0.4982;0.7388;0.8182;0.8544;0.8871;0.9284;0.9457
0.44;0.7362;0.8182;0.8575;0.8846;0.9218;0.9506
0.4916;0.7358;0.8225;0.8697;0.887;0.9257;0.9548
0.4916;0.745;0.8283;0.8648;0.8946;0.9237;0.9519
0.4888;0.743;0.8105;0.8678;0.8872;0.9235;0.9474
0.4392;0.7424;0.8025;0.8669;0.8869;0.9256;0.943
0.4916;0.7332;0.8304;0.8597;0.8922;0.9181;0.951
0.4936;0.7366;0.8165;0.8683;0.8901;0.9208;0.9496
0.494;0.7346;0.8291;0.8645;0.8892;0.9241;0.9489
0.496;0.7447;0.8164;0.8702;0.8868;0.9226;0.9514
0.424;0.7418;0.8122;0.8685;0.8938;0.9232;0.9524
0.4888;0.7418;0.828;0.8662;0.8928;0.9248;0.9485
0.48;0.7472;0.8172;0.8638;0.8889;0.9216;0.9482
0.498;0.7242;0.8199;0.8628;0.8911;0.9278;0.9502
0.4784;0.7389;0.8207;0.862;0.8914;0.9247;0.9493
0.5008;0.7438;0.8163;0.8523;0.8864;0.9231;0.954
0.4316;0.7468;0.8287;0.8574;0.8957;0.9196;0.9535
0.4964;0.733;0.8227;0.8636;0.8965;0.9243;0.9505
0.4714;0.739;0.8247;0.8651;0.8862;0.9215;0.9526
0.476;0.7477;0.819;0.8679;0.892;0.9263;0.9518
0.48;0.7232;0.8256;0.8666;0.8941;0.9251;0.9521
0.5;0.712;0.8209;0.8543;0.8902;0.9242;0.9558
0.4988;0.7386;0.8255;0.8705;0.8895;0.9273;0.9465
0.4352;0.7389;0.8267;0.8656;0.8839;0.9191;0.944
0.482;0.7399;0.8221;0.8676;0.8891;0.9174;0.9512
0.4916;0.744;0.8172;0.867;0.8923;0.9149;0.9538
0.496;0.7332;0.8255;0.8648;0.8928;0.9225;0.9477
0.4904;0.7472;0.8227;0.8668;0.8906;0.9151;0.9521
0.478;0.7423;0.8294;0.8686;0.8882;0.9132;0.9491
0.4784;0.7311;0.8114;0.8604;0.8909;0.9182;0.9455
0.4904;0.7484;0.8294;0.8614;0.8929;0.9177;0.9471
0.4916;0.7242;0.8242;0.8632;0.8905;0.9281;0.947
0.491;0.7326;0.8147;0.8629;0.8921;0.924;0.9512
0.476;0.7264;0.8167;0.8663;0.8874;0.9055;0.9498
0.4424;0.7341;0.8231;0.871;0.8939;0.9255;0.9528
0.4688;0.7352;0.8158;0.8507;0.8899;0.9232;0.9539
0.49;0.7468;0.8276;0.8634;0.8936;0.919;0.9525
0.491;0.7499;0.8193;0.8671;0.8849;0.9186;0.9504
0.4748;0.74;0.8228;0.8578;0.8837;0.9221;0.9501
0.478;0.7468;0.8102;0.8634;0.8954;0.9238;0.9505
0.4984;0.7422;0.8243;0.8672;0.8926;0.9248;0.9529
0.4916;0.7382;0.822;0.8725;0.8923;0.9264;0.9497
0.4976;0.7371;0.827;0.87;0.8866;0.9245;0.958
0.4868;0.7441;0.8219;0.8662;0.889;0.9232;0.9523
0.5;0.744;0.8219;0.8558;0.8962;0.9287;0.9501
0.4424;0.7323;0.8268;0.8615;0.8849;0.9225;0.9475
0.4714;0.7363;0.8222;0.8659;0.8918;0.9238;0.9528
0.4584;0.7444;0.8204;0.8605;0.8954;0.9225;0.9499
0.486;0.7275;0.8253;0.8661;0.8945;0.9271;0.9521
0.4736;0.7392;0.8278;0.8636;0.8933;0.9161;0.9493
0.476;0.7232;0.8246;0.8661;0.8861;0.9182;0.9512
0.4916;0.7358;0.8193;0.8723;0.8915;0.9257;0.9444
0.4244;0.7349;0.819;0.8557;0.888;0.922;0.9506
0.4916;0.7198;0.8221;0.8527;0.8934;0.925;0.9537
0.4802;0.7386;0.8239;0.8538;0.887;0.918;0.9511
0.461;0.7366;0.8132;0.8619;0.894;0.9204;0.9505
0.4892;0.7492;0.8118;0.8495;0.8889;0.9212;0.9528
0.474;0.7294;0.8268;0.8462;0.8927;0.9152;0.9545
0.4316;0.7296;0.8132;0.861;0.8907;0.9273;0.9512
0.4892;0.7431;0.8171;0.8666;0.8904;0.9278;0.9503
0.494;0.7456;0.8214;0.8681;0.8959;0.9244;0.9522
0.4846;0.7438;0.8207;0.8601;0.8937;0.9202;0.9495
0.4902;0.7475;0.8232;0.8636;0.8931;0.9275;0.9495
0.48;0.7369;0.8236;0.8634;0.896;0.9155;0.9511
0.484;0.7473;0.8294;0.865;0.8988;0.9238;0.9522
0.4976;0.7496;0.8264;0.8611;0.8859;0.9232;0.9478
0.491;0.7344;0.8184;0.865;0.8874;0.9156;0.9436
0.4856;0.743;0.808;0.863;0.9005;0.9281;0.9501
0.4824;0.7212;0.83;0.8613;0.8839;0.9243;0.9524
0.48;0.7285;0.8197;0.8579;0.8793;0.9282;0.9402
0.4712;0.736;0.8069;0.8638;0.8842;0.9261;0.949
0.5008;0.7349;0.8272;0.8533;0.8914;0.9271;0.95
0.455;0.7433;0.8128;0.8696;0.8974;0.9194;0.9477
0.484;0.7247;0.8294;0.865;0.8901;0.9201;0.9501
0.4802;0.7402;0.8256;0.8686;0.8848;0.9235;0.95
0.4552;0.7388;0.7974;0.8613;0.892;0.9204;0.9536
0.497;0.7421;0.8301;0.8704;0.8831;0.9255;0.9497
0.5;0.729;0.7944;0.8727;0.8842;0.9224;0.9538
0.467;0.7418;0.8232;0.8661;0.8914;0.9235;0.9529
0.4936;0.7492;0.8265;0.8589;0.8865;0.924;0.9509
0.4976;0.7274;0.8229;0.8649;0.8933;0.9245;0.9474
0.467;0.7242;0.8139;0.8546;0.892;0.9257;0.9478
0.4994;0.7366;0.8116;0.86;0.8909;0.9151;0.9515
0.458;0.7465;0.8193;0.8582;0.8901;0.925;0.9563
0.4984;0.7198;0.8253;0.864;0.8874;0.9158;0.9525
0.4888;0.735;0.8201;0.8703;0.8904;0.9269;0.9521
0.482;0.7446;0.8253;0.8727;0.8877;0.9164;0.9486
0.476;0.7393;0.8136;0.8656;0.8777;0.927;0.9532
0.4714;0.7402;0.8315;0.871;0.8864;0.9215;0.9427
0.486;0.7146;0.8114;0.8594;0.8853;0.9219;0.9514
0.494;0.7004;0.8244;0.8516;0.8927;0.9272;0.9498
0.48;0.7369;0.8245;0.8568;0.8798;0.9263;0.9513
0.4692;0.7488;0.8091;0.8491;0.8686;0.9212;0.9482
0.4888;0.7396;0.8033;0.8598;0.8872;0.9192;0.9556
0.4532;0.7216;0.8279;0.867;0.8923;0.9295;0.9489
0.489;0.7364;0.8245;0.8652;0.8843;0.9243;0.9511
0.4824;0.7323;0.8276;0.863;0.8773;0.9245;0.9532
0.4758;0.7412;0.8106;0.8684;0.8916;0.9254;0.9504
0.493;0.7342;0.8151;0.8634;0.8935;0.9217;0.951
0.4636;0.737;0.8194;0.8705;0.8862;0.9244;0.9443
0.4988;0.7122;0.8196;0.8637;0.8822;0.9179;0.9478
0.4824;0.7404;0.8243;0.8654;0.8833;0.9176;0.9523
0.4976;0.7414;0.8228;0.8567;0.887;0.9194;0.9513
0.48;0.7476;0.8152;0.87;0.8914;0.9221;0.9512
0.4904;0.7358;0.8285;0.863;0.8878;0.9259;0.9498
0.4712;0.7421;0.8095;0.8615;0.8909;0.9234;0.948
0.4736;0.7202;0.8307;0.8651;0.8924;0.926;0.9527
0.4118;0.7378;0.8301;0.8706;0.8819;0.9208;0.9487
0.4496;0.7396;0.8242;0.8652;0.8964;0.9173;0.9442
0.4802;0.7402;0.8292;0.8598;0.8784;0.9205;0.9461
0.4608;0.7249;0.8128;0.856;0.8906;0.9254;0.9478
0.5;0.7462;0.8256;0.8723;0.8888;0.9267;0.9486
0.4892;0.7459;0.8234;0.8689;0.8912;0.9198;0.9521
