2 Cat.;4 Cat.;6 Cat.;8 Cat.;10 Cat.;15 Cat.;25 Cat.
0.09;0.26;0.6;1.46;1.99;7.27;12.75
0.07;0.36;0.75;0.82;2.36;3.82;16.08
0.06;0.41;0.71;1.72;2.96;1.32;18.41
0.05;0.17;0.71;1.22;2.69;4.36;12.04
0.05;0.59;1.78;2.26;3.08;1.77;5.87
0.07;0.58;0.8;2.32;3.73;1.29;21.45
0.14;0.49;0.98;2.15;1.71;4.92;17.57
0.06;0.45;1;1.39;1.31;2.35;13.93
0.09;0.36;0.29;1.43;2.79;7.83;11.99
0.05;0.31;0.88;1.35;2.14;5.88;18.07
0.09;0.53;0.88;1.48;2.77;5.96;4.69
0.05;0.23;0.69;2.28;4.32;5.97;8.74
0.05;0.38;1.7;1.25;2.5;2.98;19.73
0.08;0.24;0.85;1.89;3.9;5.22;8.78
0.04;0.58;0.96;0.91;1.11;7.93;15.7
0.06;0.29;0.66;1.15;3.39;4.06;10.07
0.06;0.39;0.56;1.25;3.15;5.55;14.84
0.09;0.52;0.9;1.42;4.56;12.68;12.93
0.06;0.48;1.17;1.97;2.48;2.23;21.52
0.06;0.16;0.94;0.73;3.4;6.22;17.68
0.05;0.21;0.71;1.59;2.07;3.05;10.76
0.06;0.56;0.6;2.04;3.17;3.7;11.02
0.08;0.35;1.24;1.97;3.33;6.95;43.24
0.06;0.31;0.62;2.68;1.74;8.44;22.96
0.08;0.53;0.89;1.07;1.73;9.09;25.73
0.06;0.02;0.98;1.1;2.22;5.88;11.35
0.12;0.2;0.68;2.72;2.39;7.63;12.99
0.06;0.3;0.61;1.85;3.65;4.67;21.67
0.06;0.31;0.93;1.59;1.29;2.86;15.3
0.06;0.6;0.35;2.63;1.51;3.35;15.26
0.08;0.54;0.49;2.45;1.7;3.49;15.24
0.08;0.67;1.1;0.9;2.09;10.73;12.48
0.06;0.04;1.31;1.83;2.12;9.64;18.25
0.12;0.54;1.41;1.01;2.91;4.91;2.42
0.06;0.54;1.31;0.98;2.54;7.24;11.59
0.09;0.22;0.95;1.5;2.86;9.65;15.68
0.08;0.36;1.01;1.06;1.77;5.07;22.5
0.07;0.52;0.42;2.02;0.73;5.88;3.47
0.03;0.38;0.45;2.13;2.27;3.56;21.52
0.1;0.47;0.72;2.22;2.27;5.24;15.85
0.1;0.14;0.91;1.62;2.11;8.76;25.69
0.09;0.26;0.79;1.32;4.03;2.54;10.13
0.13;0.32;1.14;1.2;2.83;3.59;13.05
0.08;0.34;0.65;1.55;2.37;10.18;18.69
0.05;0.42;0.99;0.67;1.82;4.11;8.15
0.05;0.25;0.59;1.4;1.23;7.59;9.67
0.05;0.3;0.77;1.97;2;6.78;14.63
0.12;0.29;0.94;0.48;2.41;3.7;8.19
0.05;0.36;1.48;1.13;4.8;2.67;11.07
0.1;0.42;0.85;1.18;1.22;5.04;23.43
0.04;0.36;0.9;1.76;1.73;4.49;15.68
0.09;0.07;0.44;2.01;3.68;5.61;18.46
0.11;0.53;1.35;2.17;2.48;11.11;16.49
0.07;0.18;1.02;1.93;2.97;5.48;20.87
0.07;0.51;0.58;1.67;2.57;3.73;22.91
0.08;0.48;1.24;2.21;2.87;1.87;11.34
0.06;0.22;1.08;1.99;1.4;10.21;21.2
0.08;0.42;0.28;2.21;1.94;4.43;13.1
0.09;0.46;0.44;0.69;1.66;6.1;18.66
0.06;0.39;0.52;1.26;0.92;5.49;17.48
0.06;0.43;0.64;2.5;0.97;2.85;17.21
0.08;0.24;0.37;3.51;4.14;7.65;8.53
0.06;0.21;1.08;2.19;1.79;4;20.19
0.11;0.65;0.59;1;2.04;7.75;8
0.07;0.31;1.04;1.72;2.42;4.65;7.84
0.11;0.42;0.42;1.14;3.08;9.12;24.94
0.06;0.42;1.13;1.63;2.64;5.71;9.73
0.05;0.26;0.91;1.95;2.98;5.93;5.61
0.04;0.24;0.85;1.74;1.45;4.49;13.26
0.06;0.27;1.24;1.36;1.88;4.78;8.86
0.09;0.34;0.66;1.55;2.1;4.28;9.63
0.09;0.12;0.51;2.03;2.5;5.22;13.6
0.09;0.41;1.03;2.04;1.57;4.61;16.03
0.13;0.2;0.72;1.3;3.76;3.6;13.11
0.08;0.66;1.35;2.01;1.06;2.89;18.72
0.05;0.65;0.91;1.56;2.34;5.09;10.39
0.02;0.42;0.69;1.18;3.03;4.83;13.48
0.04;0.51;0.98;0.8;2.55;6.38;7.98
0.09;0.47;1.06;1.43;6.1;2.99;17.65
0.06;0.09;0.82;2.08;3.35;8.52;11.69
0.05;0.53;1.04;2.26;4.16;6.39;11.9
0.04;0.18;1.5;1.99;3.59;9.27;24.8
0.11;0.43;1.56;0.94;2.03;7.71;9.41
0.05;0.69;0.86;1.4;1.85;6.04;20.03
0.08;0.16;0.85;1;2.6;2.56;22.03
0.1;0.2;1.37;2.45;2.2;7.55;26.58
0.12;0.25;0.83;1.18;2.75;6.08;20.37
0.04;0.44;0.22;1.78;2.67;4.58;11.56
0.1;0.59;1.06;1.89;1.7;7.2;12.06
0.06;0.41;0.88;1.18;2.45;5.61;16.07
0.04;0.45;1.1;1.87;1.87;8.25;25.46
0.03;0.45;0.44;1.45;2.83;4.37;15.54
0.02;0.45;0.51;1.55;2;5.27;29.25
0.09;0.07;0.39;0.92;2.24;5.94;25.51
0.09;0.49;0.91;1.69;2.6;3.8;14.95
0.12;0.23;0.89;2.38;2.48;3.11;15.97
0.12;0.27;1;0.89;2.74;3.55;19.16
0.07;0.54;0.76;1.59;1.98;10.33;14.37
0.06;0.39;0.56;2.08;1.54;5.77;14.18
0.04;0.25;0.73;0.62;3.26;5.02;16.32
0.07;0.65;0.97;2.24;2.15;4.67;12.18
0.06;0.55;0.63;1.45;1.81;4.15;17.34
0.03;0.25;0.85;1.25;1.9;3.18;14.73
0.05;0.42;0.42;1.85;1.55;5.44;15.49
0.07;0.32;0.59;0.97;2.08;4.36;5.27
0.07;0.5;0.96;1;1.86;3.29;15.92
0.07;0.54;0.56;1.01;1.31;5.81;19.33
0.08;0.22;0.82;1.33;0.91;3.52;15.08
0.07;0.39;0.21;1.68;2.15;7.38;6.24
0.08;0.5;0.55;1.87;5.12;4.32;27.96
0.06;0.35;1.78;3.11;1.89;3.07;19.39
0.05;0.61;0.72;1.85;2.83;6.36;6.32
0.08;0.57;1.13;1.57;2.22;5.68;11.65
0.06;0.42;1.1;0.8;1.45;5.83;15.01
0.11;0.18;1.02;1.37;3.32;5.19;16.86
0.12;0.34;1.76;1.88;2.46;3.22;11.26
0.07;0.2;1.04;1.46;4.08;6.03;23.01
0.07;0.46;1.31;1.4;1.6;4.72;31.33
0.03;0.41;0.41;2.04;2.12;4.68;12.67
0.03;0.17;0.72;1.96;3.03;7.86;10.16
0.1;0.31;1.49;1.08;1.7;7.11;9.56
0.06;0.28;0.78;2.61;3.14;6.81;17.9
0.08;0.52;1.05;0.93;1.08;6.05;7.12
0.09;0.19;0.74;1.3;2.32;5.91;14.11
0.05;0.57;0.91;1.09;0.55;4.44;14.17
0.06;0.43;0.39;0.95;3.14;6.21;19.53
0.07;0.43;0.75;2.07;2.29;2.07;10.21
0.05;0.17;0.92;0.76;4.85;5.35;8.7
0.07;0.34;1.07;1.73;1.99;4.17;13.82
0.05;0.51;0.75;1.85;2.36;8.27;8.41
0.08;0.2;0.53;1.58;4.46;7.98;18.54
0.1;0.27;1.51;1.12;1.76;5.9;19.59
0.08;0.47;0.92;1.51;1.98;6.86;29.3
0.09;0.53;0.51;1.82;1.94;4.15;9.52
0.1;0.35;1.01;1.23;2.04;7.91;15.27
0.08;0.54;0.56;2.23;2.89;6.74;32.01
0.11;0.21;0.94;1.35;3.66;4.91;21.65
0.07;0.45;1.26;1.39;2.57;4.06;24.25
0.07;0.34;0.86;1.3;3.34;3.95;10
0.12;0.1;1.14;0.98;2.06;6.1;21.22
0.06;0.35;0.99;1.56;2.53;7.36;14.63
0.04;0.31;1.01;1.89;2.67;5.64;13.29
0.08;0.32;0.86;1.82;2.62;8.82;13.93
0.09;0.4;0.78;2.1;3.46;8.15;22.07
0.09;0.38;1.81;0.43;3.37;6.03;14.75
0.07;0.6;1.07;1.12;2.49;6.63;13.4
