2 Cat.;4 Cat.;6 Cat.;8 Cat.;10 Cat.;15 Cat.;25 Cat.
0.5338;0.2784;0.1772;0.1371;0.1211;0.0809;0.0501
0.5048;0.2829;0.1832;0.1386;0.1065;0.0777;0.0538
0.5024;0.2605;0.1745;0.1408;0.1093;0.0787;0.0484
0.5364;0.2726;0.1696;0.135;0.1081;0.0794;0.0489
0.5544;0.2683;0.1732;0.1307;0.1154;0.0827;0.0497
0.5162;0.2582;0.1833;0.1423;0.1131;0.0736;0.0486
0.512;0.2638;0.1841;0.1354;0.1081;0.0742;0.0523
0.501;0.2673;0.1674;0.1359;0.1093;0.0745;0.05
0.5126;0.2728;0.1893;0.1405;0.1133;0.0737;0.0537
0.5176;0.2726;0.1799;0.1385;0.1062;0.0846;0.0464
0.5;0.2508;0.1715;0.1277;0.113;0.0805;0.0495
0.5336;0.2627;0.1669;0.1277;0.1039;0.0726;0.0504
0.542;0.2761;0.1708;0.1447;0.1085;0.0757;0.0462
0.516;0.2521;0.187;0.1344;0.1057;0.075;0.0491
0.509;0.2662;0.1809;0.1387;0.1068;0.0717;0.047
0.52;0.2588;0.186;0.1316;0.1084;0.0829;0.0455
0.5;0.2615;0.1916;0.1415;0.1108;0.076;0.0506
0.5144;0.2503;0.1862;0.1414;0.1106;0.0776;0.0494
0.524;0.2674;0.2047;0.1367;0.1199;0.0741;0.0495
0.533;0.2562;0.1902;0.1378;0.1058;0.0771;0.0484
0.5264;0.2572;0.1764;0.133;0.1103;0.0743;0.0459
0.522;0.2586;0.1769;0.1313;0.117;0.0743;0.0492
0.518;0.2692;0.1681;0.1442;0.1139;0.0823;0.0477
0.506;0.2535;0.1731;0.1342;0.1096;0.0767;0.0521
0.5018;0.2612;0.1818;0.1456;0.1129;0.0716;0.0543
0.56;0.2638;0.1818;0.1425;0.1154;0.0782;0.0494
0.5084;0.2642;0.1775;0.1303;0.113;0.0743;0.0452
0.5084;0.255;0.1717;0.1352;0.1054;0.0763;0.0481
0.5112;0.257;0.1895;0.1322;0.1128;0.0765;0.0526
0.5608;0.2576;0.1975;0.1331;0.1131;0.0744;0.057
0.5084;0.2668;0.1696;0.1403;0.1078;0.0819;0.049
0.5064;0.2634;0.1835;0.1317;0.1099;0.0792;0.0504
0.506;0.2654;0.1709;0.1355;0.1108;0.0759;0.0511
0.504;0.2553;0.1836;0.1298;0.1132;0.0774;0.0486
0.576;0.2582;0.1878;0.1315;0.1062;0.0768;0.0476
0.5112;0.2582;0.172;0.1338;0.1072;0.0752;0.0515
0.52;0.2528;0.1828;0.1362;0.1111;0.0784;0.0518
0.502;0.2758;0.1801;0.1372;0.1089;0.0722;0.0498
0.5216;0.2611;0.1793;0.138;0.1086;0.0753;0.0507
0.4992;0.2562;0.1837;0.1477;0.1136;0.0769;0.046
0.5684;0.2532;0.1713;0.1426;0.1043;0.0804;0.0465
0.5036;0.267;0.1773;0.1364;0.1035;0.0757;0.0495
0.5286;0.261;0.1753;0.1349;0.1138;0.0785;0.0474
0.524;0.2523;0.181;0.1321;0.108;0.0737;0.0482
0.52;0.2768;0.1744;0.1334;0.1059;0.0749;0.0479
0.5;0.288;0.1791;0.1457;0.1098;0.0758;0.0442
0.5012;0.2614;0.1745;0.1295;0.1105;0.0727;0.0535
0.5648;0.2611;0.1733;0.1344;0.1161;0.0809;0.056
0.518;0.2601;0.1779;0.1324;0.1109;0.0826;0.0488
0.5084;0.256;0.1828;0.133;0.1077;0.0851000000000001;0.0462
0.504;0.2668;0.1745;0.1352;0.1072;0.0775;0.0523
0.5096;0.2528;0.1773;0.1332;0.1094;0.0849;0.0479
0.522;0.2577;0.1706;0.1314;0.1118;0.0868;0.0509
0.5216;0.2689;0.1886;0.1396;0.1091;0.0818;0.0545
0.5096;0.2516;0.1706;0.1386;0.1071;0.0823;0.0529
0.5084;0.2758;0.1758;0.1368;0.1095;0.0719;0.053
0.509;0.2674;0.1853;0.1371;0.1079;0.076;0.0488
0.524;0.2736;0.1833;0.1337;0.1126;0.0945;0.0502
