3 Cat.;6 Cat.;9 Cat.;12 Cat.;15 Cat.;25 Cat.;35 Cat.
0.892;0.884;0.864;0.872;0.872;0.872;0.82
0.908;0.872;0.856;0.828;0.868;0.896;0.856
0.896;0.864;0.868;0.876;0.884;0.848;0.852
0.896;0.888;0.86;0.884;0.828;0.876;0.848
0.864;0.9;0.872;0.852;0.848;0.864;0.808
0.888;0.848;0.856;0.88;0.856;0.844;0.852
0.884;0.868;0.848;0.828;0.88;0.836;0.832
0.888;0.896;0.856;0.896;0.896;0.88;0.876
0.916;0.884;0.892;0.872;0.828;0.872;0.828
0.888;0.864;0.888;0.868;0.872;0.872;0.884
0.848;0.856;0.864;0.856;0.868;0.86;0.884
0.928;0.836;0.88;0.884;0.804;0.852;0.884
0.92;0.888;0.88;0.884;0.836;0.828;0.864
0.916;0.9;0.864;0.808;0.876;0.864;0.808
0.924;0.896;0.832;0.844;0.888;0.896;0.864
0.872;0.844;0.832;0.86;0.88;0.808;0.86
0.92;0.876;0.864;0.888;0.872;0.84;0.876
0.896;0.896;0.892;0.836;0.872;0.876;0.876
